Luas lantai (m2),Jenis dinding,Jenis Lantai,Kepimilikan FTBAB,Sumber air minum,Sumber penerangan,Bahan bakar,Banyak ART,Outcome
91,1,2,1,2,1,7,6,1
72,1,2,1,7,1,7,9,0
72,1,6,1,7,1,10,8,0
128,1,2,1,2,1,7,5,1
135,1,2,1,2,1,7,4,1
35,1,6,1,7,1,10,3,0
63,1,2,1,7,1,7,12,0
72,1,2,1,7,1,7,8,0
45,3,5,1,7,1,7,5,0
30,1,2,1,7,1,7,1,1
96,1,6,1,2,1,7,6,1
192,1,4,1,3,1,7,5,1
48,1,6,1,2,1,7,1,1
112,1,2,1,3,1,3,4,1
130,1,2,1,3,1,7,7,1
54,1,2,1,2,1,7,4,1
30,1,6,1,2,1,7,4,1
120,1,2,1,3,1,7,6,1
180,1,2,1,2,1,7,5,1
48,1,6,1,3,1,10,3,1
120,1,2,1,3,1,7,4,1
102,1,2,1,3,1,7,3,1
130,1,2,1,3,1,7,6,1
60,1,6,2,3,1,7,5,1
135,1,6,1,2,1,7,4,1
25,3,6,2,3,1,7,5,0
35,1,6,1,2,1,7,5,1
162,1,2,1,2,1,7,4,1
77,1,6,1,3,1,7,4,1
220,1,2,1,3,1,7,7,1
15,3,5,2,2,2,7,3,1
200,1,2,1,7,1,7,5,0
63,3,5,1,7,1,7,2,1
54,1,6,1,7,1,7,5,1
42,3,5,1,7,1,10,3,1
24,3,5,4,7,1,7,3,1
42,3,5,4,7,1,10,5,1
42,3,5,4,7,1,7,4,1
104,1,2,1,7,1,7,5,1
35,3,5,4,7,1,7,4,0
80,3,5,1,2,1,7,5,0
78,1,6,6,7,1,7,7,1
45,3,5,1,7,1,10,3,0
20,3,5,6,7,1,10,2,1
84,1,2,1,7,1,7,3,1
48,3,5,1,7,1,7,8,1
30,3,5,6,7,1,10,8,0
150,3,5,6,7,1,10,5,1
42,3,5,2,7,1,10,4,0
24,3,5,1,7,1,10,7,1
54,3,5,1,7,1,7,4,1
63,1,2,1,7,1,10,6,0
72,3,5,1,2,1,7,5,1
84,3,6,1,7,1,7,5,1
72,1,5,1,7,1,7,1,1
78,3,5,1,7,1,7,1,1
20,1,5,1,2,1,7,3,1
42,3,5,1,7,1,7,3,1
108,3,1,1,7,1,7,4,1
40,3,5,1,8,1,7,8,0
117,1,5,1,7,1,7,6,1
72,3,6,1,7,1,7,6,1
72,1,6,1,7,1,10,5,1
84,1,4,1,7,1,7,8,1
112,4,6,1,6,1,10,3,1
54,3,5,1,7,1,7,4,1
72,1,4,1,7,1,3,3,1
63,1,8,1,7,1,7,2,1
63,1,6,1,7,1,10,7,1
54,3,5,2,7,1,10,5,1
63,3,5,6,5,1,10,2,1
84,3,5,1,5,1,7,4,1
96,3,5,1,5,1,2,4,1
35,1,6,6,5,1,7,2,1
20,3,5,1,5,1,10,5,1
35,3,6,4,5,1,10,4,1
24,3,5,6,5,4,10,5,1
63,3,5,1,5,1,10,5,1
35,3,5,6,5,4,10,6,1
54,3,5,1,5,1,10,3,1
60,1,7,1,2,1,7,6,1
30,3,6,4,7,1,7,4,1
52,3,5,4,7,1,7,4,1
150,1,6,1,2,1,7,6,1
90,3,2,1,7,1,7,2,1
66,1,6,1,7,1,7,6,1
72,1,5,1,7,1,7,5,1
35,3,5,1,7,2,7,4,1
72,1,2,1,7,1,7,4,1
20,3,5,4,7,2,7,2,1
63,3,6,1,3,1,10,7,1
30,3,6,6,3,1,10,6,1
150,1,4,1,3,1,7,9,1
108,1,4,1,3,1,7,3,1
56,1,6,1,3,1,7,4,1
30,1,4,1,3,1,7,3,1
35,3,6,6,3,1,10,4,1
30,3,6,1,3,1,10,7,0
28,3,6,1,3,1,10,4,1
42,3,5,6,7,1,7,2,1
77,4,5,1,7,1,7,3,1
150,3,5,1,7,1,7,4,1
90,3,5,1,3,1,7,4,1
120,3,5,1,7,1,7,1,1
42,3,5,6,7,1,10,4,1
56,3,5,6,7,1,10,3,1
63,3,5,1,5,1,7,3,1
36,3,6,1,3,1,7,4,1
36,3,5,6,7,1,7,4,0
54,1,6,1,6,1,10,5,1
63,1,6,6,6,2,10,6,0
96,1,2,1,2,1,7,3,1
54,1,5,6,6,1,10,4,1
24,3,7,6,6,2,10,2,0
30,3,7,6,5,2,10,5,1
54,1,6,6,6,1,10,4,1
60,1,6,1,6,2,10,7,0
54,1,6,1,5,1,10,5,0
48,1,6,1,6,1,10,4,1
42,3,5,1,10,1,10,9,0
96,7,6,6,10,1,10,7,1
54,1,6,1,10,1,10,9,0
42,1,6,4,10,2,10,4,1
30,3,6,1,6,1,10,2,1
104,1,2,1,2,1,7,5,1
60,1,4,1,10,1,10,7,1
56,1,6,1,10,1,10,6,0
18,4,7,6,10,1,10,4,0
48,1,6,6,10,1,10,5,0
30,1,6,1,5,1,10,4,1
24,3,6,1,2,1,10,7,1
35,3,7,1,5,2,10,2,1
35,3,6,1,5,1,10,4,0
42,1,6,1,2,1,10,5,1
24,3,5,1,5,1,10,5,0
88,3,5,1,2,1,7,5,1
63,3,5,1,5,1,10,5,1
28,5,5,1,5,1,10,10,0
