Luas lantai (m2),jenis dinding,jenis lantai,kepemilikan ftbab,sumber ir minum,sumber penerangan,bahan bakar,Banyak ART,outcome
91,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",2. Air isi ulang,1. Listrik PLN dengan meteran,7. Minyak tanah,6,Tidak miskin
72,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,9,Miskin
72,1. Tembok,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,8,Miskin
128,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",2. Air isi ulang,1. Listrik PLN dengan meteran,7. Minyak tanah,5,Tidak miskin
135,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",2. Air isi ulang,1. Listrik PLN dengan meteran,7. Minyak tanah,4,Tidak miskin
35,1. Tembok,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,3,Miskin
63,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,12,Miskin
72,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,8,Miskin
45,3. Kayu/papan,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,5,Miskin
30,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,1,Tidak miskin
96,1. Tembok,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",2. Air isi ulang,1. Listrik PLN dengan meteran,7. Minyak tanah,6,Tidak miskin
192,1. Tembok,4. Ubin/tegel/teraso,"1. Ada, digunakan hanya ART sendiri",3. Leding,1. Listrik PLN dengan meteran,7. Minyak tanah,5,Tidak miskin
48,1. Tembok,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",2. Air isi ulang,1. Listrik PLN dengan meteran,7. Minyak tanah,1,Tidak miskin
112,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",3. Leding,1. Listrik PLN dengan meteran,3. Elpiji 12 kg,4,Tidak miskin
130,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",3. Leding,1. Listrik PLN dengan meteran,7. Minyak tanah,7,Tidak miskin
54,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",2. Air isi ulang,1. Listrik PLN dengan meteran,7. Minyak tanah,4,Tidak miskin
30,1. Tembok,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",2. Air isi ulang,1. Listrik PLN dengan meteran,7. Minyak tanah,4,Tidak miskin
120,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",3. Leding,1. Listrik PLN dengan meteran,7. Minyak tanah,6,Tidak miskin
180,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",2. Air isi ulang,1. Listrik PLN dengan meteran,7. Minyak tanah,5,Tidak miskin
48,1. Tembok,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",3. Leding,1. Listrik PLN dengan meteran,10. Kayu bakar,3,Tidak miskin
120,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",3. Leding,1. Listrik PLN dengan meteran,7. Minyak tanah,4,Tidak miskin
102,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",3. Leding,1. Listrik PLN dengan meteran,7. Minyak tanah,3,Tidak miskin
130,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",3. Leding,1. Listrik PLN dengan meteran,7. Minyak tanah,6,Tidak miskin
60,1. Tembok,6. Semen/bata merah,6. Lainnya,3. Leding,1. Listrik PLN dengan meteran,7. Minyak tanah,5,Tidak miskin
135,1. Tembok,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",2. Air isi ulang,1. Listrik PLN dengan meteran,7. Minyak tanah,4,Tidak miskin
25,3. Kayu/papan,6. Semen/bata merah,6. Lainnya,3. Leding,1. Listrik PLN dengan meteran,7. Minyak tanah,5,Miskin
35,1. Tembok,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",2. Air isi ulang,1. Listrik PLN dengan meteran,7. Minyak tanah,5,Tidak miskin
162,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",2. Air isi ulang,1. Listrik PLN dengan meteran,7. Minyak tanah,4,Tidak miskin
77,1. Tembok,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",3. Leding,1. Listrik PLN dengan meteran,7. Minyak tanah,4,Tidak miskin
220,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",3. Leding,1. Listrik PLN dengan meteran,7. Minyak tanah,7,Tidak miskin
15,3. Kayu/papan,5. Kayu/papan,6. Lainnya,2. Air isi ulang,2.Listrik PLN tanpa meteran,7. Minyak tanah,3,Tidak miskin
200,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,5,Miskin
63,3. Kayu/papan,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,2,Tidak miskin
54,1. Tembok,6. Semen/bata merah,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,5,Tidak miskin
42,3. Kayu/papan,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,3,Tidak miskin
24,3. Kayu/papan,5. Kayu/papan,6. Lainnya,7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,3,Tidak miskin
42,3. Kayu/papan,5. Kayu/papan,6. Lainnya,7. Mata air terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,5,Tidak miskin
42,3. Kayu/papan,5. Kayu/papan,6. Lainnya,7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,4,Tidak miskin
104,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,5,Tidak miskin
35,3. Kayu/papan,5. Kayu/papan,6. Lainnya,7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,4,Miskin
80,3. Kayu/papan,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",2. Air isi ulang,1. Listrik PLN dengan meteran,7. Minyak tanah,5,Miskin
78,1. Tembok,6. Semen/bata merah,6. Lainnya,7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,7,Tidak miskin
45,3. Kayu/papan,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,3,Miskin
20,3. Kayu/papan,5. Kayu/papan,6. Lainnya,7. Mata air terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,2,Tidak miskin
84,1. Tembok,2. Keramik,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,3,Tidak miskin
48,3. Kayu/papan,5. Kayu/papan,"1. Ada, digunakan hanya ART sendiri",7. Mata air terlindung,1. Listrik PLN dengan meteran,7. Minyak tanah,8,Tidak miskin
30,3. Kayu/papan,5. Kayu/papan,6. Lainnya,7. Mata air terlindung,1. Listrik PLN dengan meteran,10. Kayu bakar,8,Miskin
